Comment,Designator,Footprint,LCSC Part Number,MFR part number,
10nF 10% 50V,"C1,C2,C3",0805,C1710 ,CL21B103KBANNNC,SMD
10uF 10% 16V,"C4,C5",0805,C95841,CL21B106KOQNNNE,
Diode schottky 40V 1A ,"D1,D2,D3,D4,D5,D6",SOD-123,C169540 ,1N5819W,
TP4056-42-ESOP8,IC1,ESOP-8_EP_3.9x4.9x1.27P,C16581,TP4056-42-ESOP8,
1k 1% 1/16W,"R1,R2,R3",0402,C11702,0402WGF1001TCE,
10k 1/16W 1% ,"R4,R7",0402,C25744,0402WGF1002TCE,
390k 1% 1/16W,R5,0402,C25782,0402WGF3903TCE,
100k 1/16W 1% ,R6,0402,C25741,0402WGF1003TCE,
20k 1/16W 1%,R8,0402,C25765,0402WGF2002TCE,
Switch 6V 300mA ,SW1,SMD,C221666,JS202011SCQN,
P=3.5mm Screw terminal,"JS1,JS2",CONN-TH_P3.50_KF350-3.5-2P,C474892,KF350-3.5-2P,Hand soldered
2.54mm 14 Straight 1 Receptacle Through Hole,"P1,P2",HDR-TH_14P-P2.54-V,C124407,B-2200S14P-A120,
"2 Header PH 0.079""(2.00mm) Male Pin Through Hole Wire To Board",J_BAT1,CONN-TH_PH-2A,C8886,PH-2AK,
P=5.08mm Screw terminal ,J_PV1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,C8465,WJ500V-5.08-2P,
DS1133-S60APS,J_SENSOR1,RJ11-TH_PCB-6P6C-90,C77857,DS1133-S60APS,
,,,,,
